pairblock,pair,block,water.yr,ecosite,plot,x,y,wspg,c3pg,forb,total.mass,wyr.ppt,f.ppt,cs.ppt,gs.ppt,sp.ppt,lag.wyr,lag.f,lag.cs,lag.gs,lag2.f,lag2.cs,lag2.gs,lag.mass,total.mass.dm,wspg.dm,c3pg.dm,forb.dm
1_5,1,5,2017,Loamy,1,524788,4516050,599.61625,87.5225,160.58375,1008.375,283.822865,45.20563944,55.88,182.7372256,152.1302591,222.341613,54.69966056,71.374,96.26795245,71.97917932,259.8588838,259.8588838,732.015,54.72545455,70.44102273,-10.19909091,-14.65772727
1_5,1,5,2018,Loamy,1,524788,4516050,249.05125,72.18375,37.60625,606.74875,272.733336,76.96064604,53.34,142.4326899,145.2448403,283.822865,45.20563944,55.88,182.7372256,54.69966056,96.26795245,96.26795245,1008.375,-346.9007955,-280.1239773,-25.53784091,-137.6352273
1_5,1,5,2019,Loamy,1,524788,4516050,263.68,47.81875,766.0225,1274.98625,339.1879021,12.36358362,99.83672372,226.9875948,284.9932464,272.733336,76.96064604,53.34,142.4326899,45.20563944,182.7372256,182.7372256,606.74875,321.3367045,-265.4952273,-49.90284091,590.7810227
1_5,1,5,2020,Loamy,1,524788,4516050,281.59125,15.64125,66.81,366.4175,278.1260707,38.43740376,84.85926931,154.8293976,175.2814204,339.1879021,12.36358362,99.83672372,226.9875948,76.96064604,142.4326899,142.4326899,1274.98625,-587.2320455,-247.5839773,-82.08034091,-108.4314773
1_5,1,5,2021,Loamy,1,524788,4516050,919.64875,243.44625,189.4175,1640.77625,427.1026899,25.64610166,113.6256126,287.8309756,311.2233506,278.1260707,38.43740376,84.85926931,154.8293976,12.36358362,226.9875948,226.9875948,366.4175,687.1267045,390.4735227,145.7246591,14.17602273
1_5,1,5,2022,Loamy,1,524788,4516050,170.29875,45.895,31.16875,247.3625,277.4905999,48.45854693,67.54262345,161.4894296,112.6185133,427.1026899,25.64610166,113.6256126,287.8309756,38.43740376,154.8293976,154.8293976,1640.77625,-706.2870455,-358.8764773,-51.82659091,-144.0727273
1_5,1,5,2023,Loamy,1,524788,4516050,1073.795,39.505,362.4125,1475.7125,400.9138563,44.18084656,48.514,308.2190097,242.2804929,277.4905999,48.45854693,67.54262345,161.4894296,25.64610166,287.8309756,287.8309756,247.3625,522.0629545,544.6197727,-58.21659091,187.1710227
1_6,1,6,2013,Sandy,1,524252.5,4519575,282.955,351.575,320.69875,955.22875,256.2838098,69.90651158,26.416,159.9612982,117.446657,192.7626304,83.49870606,18.288,90.97592433,4.021430107,217.5350977,217.5350977,NA,-473.8644318,21.68375,-379.6294318,-19.63261364
1_6,1,6,2014,Sandy,1,524252.5,4519575,469.7775,938.75,466.01125,1899.9,465.3615646,188.3956313,76.2,200.7659334,149.3243577,256.2838098,69.90651158,26.416,159.9612982,83.49870606,90.97592433,90.97592433,955.22875,470.8068182,208.50625,207.5455682,125.6798864
1_6,1,6,2015,Sandy,1,524252.5,4519575,275.48875,1062.0625,404.925,1775.10375,382.5976955,77.69404206,60.198,244.7056535,223.1798761,465.3615646,188.3956313,76.2,200.7659334,69.90651158,159.9612982,159.9612982,1899.9,346.0105682,14.2175,330.8580682,64.59363636
1_6,1,6,2016,Sandy,1,524252.5,4519575,103.40125,714.79,11.50375,1013.55625,232.6709637,57.59242877,71.374,103.704535,104.5158022,382.5976955,77.69404206,60.198,244.7056535,188.3956313,200.7659334,200.7659334,1775.10375,-415.5369318,-157.87,-16.41443182,-328.8276136
1_6,1,6,2017,Sandy,1,524252.5,4519575,133.60625,804.33375,318.41125,1616.98875,313.9270864,55.90605771,55.88,202.1410287,155.2348622,232.6709637,57.59242877,71.374,103.704535,77.69404206,244.7056535,244.7056535,1013.55625,187.8955682,-127.665,73.12931818,-21.92011364
1_6,1,6,2018,Sandy,1,524252.5,4519575,52.61,1047.935,31.015,1302.4375,301.8334957,79.87383596,53.34,168.6196597,166.3180034,313.9270864,55.90605771,55.88,202.1410287,57.59242877,103.704535,103.704535,1616.98875,-126.6556818,-208.66125,316.7305682,-309.3163636
1_6,1,6,2019,Sandy,1,524252.5,4519575,113.7875,682.15625,975.35375,1889.035,342.0237859,16.14690558,83.17569305,242.7011873,290.013254,301.8334957,79.87383596,53.34,168.6196597,55.90605771,202.1410287,202.1410287,1302.4375,459.9418182,-147.48375,-49.04818182,635.0223864
1_6,1,6,2020,Sandy,1,524252.5,4519575,116.64125,344.79,49.15,521.7225,275.2228548,31.18102329,83.82823973,160.2135917,197.1572226,342.0237859,16.14690558,83.17569305,242.7011873,79.87383596,168.6196597,168.6196597,1889.035,-907.3706818,-144.63,-386.4144318,-291.1813636
1_6,1,6,2021,Sandy,1,524252.5,4519575,271.78875,1078.625,460.03125,1963.6425,374.7219185,26.23829253,113.7011406,234.7824854,265.2979555,275.2228548,31.18102329,83.82823973,160.2135917,16.14690558,242.7011873,242.7011873,521.7225,534.5493182,10.5175,347.4205682,119.6998864
1_6,1,6,2022,Sandy,1,524252.5,4519575,64.31375,208.58375,16.2875,290.2275,257.7607543,41.16207739,67.34933603,149.2493409,102.6834981,374.7219185,26.23829253,113.7011406,234.7824854,31.18102329,160.2135917,160.2135917,1963.6425,-1138.865682,-196.9575,-522.6206818,-324.0438636
1_6,1,6,2023,Sandy,1,524252.5,4519575,989.61375,809.6475,690.2575,2492.1825,422.7954265,50.07582948,48.514,324.2055971,239.3170614,257.7607543,41.16207739,67.34933603,149.2493409,26.23829253,234.7824854,234.7824854,290.2275,1063.089318,728.3425,78.44306818,349.9261364
1_7,1,7,2013,Loamy,1,524369,4521440,805.9475,9.015,174.91375,989.87625,278.9581303,74.57751504,26.416,177.9646153,122.8049336,217.0897608,91.50200294,18.288,107.2997579,4.60647677,221.7969408,221.7969408,NA,-103.5035227,163.3239773,-182.4755682,-38.66977273
1_7,1,7,2014,Loamy,1,524369,4521440,967.675,155.8075,204.64875,1494.76875,447.3686994,183.9594867,76.2,187.2092127,135.020485,278.9581303,74.57751504,26.416,177.9646153,91.50200294,107.2997579,107.2997579,989.87625,401.3889773,325.0514773,-35.68306818,-8.934772727
1_7,1,7,2015,Loamy,1,524369,4521440,696.96375,234.385,26.3725,963.84375,382.0638555,67.87178868,60.198,253.9940669,232.1736652,447.3686994,183.9594867,76.2,187.2092127,74.57751504,177.9646153,177.9646153,1494.76875,-129.5360227,54.34022727,42.89443182,-187.2110227
1_7,1,7,2016,Loamy,1,524369,4521440,353.5275,557.705,22.60375,1046.45375,244.3327701,61.80180348,71.374,111.1569666,109.7098886,382.0638555,67.87178868,60.198,253.9940669,183.9594867,187.2092127,187.2092127,963.84375,-46.92602273,-289.0960227,366.2144318,-190.9797727
1_7,1,7,2017,Loamy,1,524369,4521440,811.665,178.07625,54.08875,1135.83375,333.5671588,72.28135309,55.88,205.4058057,158.778582,244.3327701,61.80180348,71.374,111.1569666,67.87178868,253.9940669,253.9940669,1046.45375,42.45397727,169.0414773,-13.41431818,-159.4947727
1_7,1,7,2018,Loamy,1,524369,4521440,226.5125,106.29375,70.57125,426.7875,306.8629936,79.5807373,53.34,173.9422563,169.5968194,333.5671588,72.28135309,55.88,205.4058057,61.80180348,111.1569666,111.1569666,1135.83375,-666.5922727,-416.1110227,-85.19681818,-143.0122727
1_7,1,7,2019,Loamy,1,524369,4521440,676.55125,116.77625,308.22375,1106.0725,341.1964164,18.11148538,73.9846578,249.1002732,290.1600767,306.8629936,79.5807373,53.34,173.9422563,72.28135309,205.4058057,205.4058057,426.7875,12.69272727,33.92772727,-74.71431818,94.64022727
1_7,1,7,2020,Loamy,1,524369,4521440,269.865,200.8225,8.18625,478.87375,259.2394646,30.13589863,80.39683515,148.7067308,180.396263,341.1964164,18.11148538,73.9846578,249.1002732,79.5807373,173.9422563,173.9422563,1106.0725,-614.5060227,-372.7585227,9.331931818,-205.3972727
1_7,1,7,2021,Loamy,1,524369,4521440,625.30125,329.11375,298.195,1271.03625,346.4842745,26.05322797,114.1318718,206.2991747,242.7349188,259.2394646,30.13589863,80.39683515,148.7067308,18.11148538,249.1002732,249.1002732,478.87375,177.6564773,-17.32227273,137.6231818,84.61147727
1_7,1,7,2022,Loamy,1,524369,4521440,242.55125,109.18,176.67625,591.03375,299.3242301,37.42094148,66.37551615,195.5277725,103.6943431,346.4842745,26.05322797,114.1318718,206.2991747,30.13589863,148.7067308,148.7067308,1271.03625,-502.3460227,-400.0722727,-82.31056818,-36.90727273
1_7,1,7,2023,Loamy,1,524369,4521440,1392.29875,109.22125,1004.93875,2522.5975,404.6145809,45.20497033,48.514,310.8956106,208.570468,299.3242301,37.42094148,66.37551615,195.5277725,26.05322797,206.2991747,206.2991747,591.03375,1429.217727,749.6752273,-82.26931818,791.3552273
1_8,1,8,2013,Loamy,1,526644,4522235,707.79375,173.50125,17.4925,903.9,286.7093599,74.79982896,26.416,185.4935309,120.4410307,216.5431582,85.53937132,18.288,112.7157868,6.348155139,231.3020231,231.3020231,NA,-259.3721212,340.8557955,-188.0025,-270.1391288
1_8,1,8,2014,Loamy,1,526644,4522235,407.6175,429.34625,274.4775,1248.54625,424.9486932,166.3599442,76.2,182.3887491,119.7083891,286.7093599,74.79982896,26.416,185.4935309,85.53937132,112.7157868,112.7157868,903.9,85.27412879,40.67954545,67.8425,-13.15412879
1_8,1,8,2015,Loamy,1,526644,4522235,444.55125,541.35625,164.8454167,1212.555833,383.439074,66.85243249,60.198,256.3886415,228.8903021,424.9486932,166.3599442,76.2,182.3887491,74.79982896,185.4935309,185.4935309,1248.54625,49.28371212,77.61329545,179.8525,-122.7862121
